House ID,City,Location,Price,Bedrooms,Bathrooms,Square Footage,Year Built/Age,Amenities,House Type,Sale Status,Minimum Credit Score,Link
64,Halethrope,"5906 Woodside Avenue",500000,5,4,2500,12 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing64"
65,Baltimore City,"5907 Oakford Avenue",325000,3,2,1600,9 years,"Garage",Condo,Rent,700,"https://example.com/listing65"
66,Arbutus,"5908 Circle Dr",280000,3,2,1500,8 years,"Garden",Single-family home,Sale,660,"https://example.com/listing66"
67,Halethrope,"5909 Ridge Avenue",380000,4,3,2000,10 years,"Swimming Pool, Garage",Townhouse,Sale,720,"https://example.com/listing67"
68,Baltimore City,"5910 Haddon Avenue",365000,4,2,1800,6 years,"Garden",Condo,Rent,700,"https://example.com/listing68"
69,Arbutus,"5911 Courtney Road",295000,3,2,1600,7 years,"Garage",Single-family home,Sale,680,"https://example.com/listing69"
70,Halethrope,"5912 Woodside Avenue",520000,5,4,2500,11 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing70"
71,Baltimore City,"5913 Oakford Avenue",335000,3,2,1500,9 years,"Garage",Condo,Rent,700,"https://example.com/listing71"
72,Arbutus,"5914 Circle Dr",310000,4,3,2000,6 years,"Garden",Townhouse,Sale,700,"https://example.com/listing72"
73,Halethrope,"5915 Ridge Avenue",420000,4,2,1800,8 years,"Garage",Single-family home,Sale,720,"https://example.com/listing73"
74,Baltimore City,"5916 Haddon Avenue",375000,3,2,1600,7 years,"Swimming Pool, Garden",Single-family home,Rent,680,"https://example.com/listing74"
75,Baltimore City,"7501 Oakford Avenue",250000,3,2,1500,10 years,"Swimming Pool, Garden",Single-family home,Sale,680,"https://example.com/listing75"
76,Arbutus,"7502 Circle Dr",300000,4,3,2000,5 years,"Garage",Townhouse,Rent,700,"https://example.com/listing76"
77,Halethrope,"7503 Ridge Avenue",400000,4,2,1800,8 years,"Garden",Condo,Sale,720,"https://example.com/listing77"
78,Baltimore City,"7504 Haddon Avenue",350000,3,2,1600,7 years,"Garage",Single-family home,Rent,680,"https://example.com/listing78"
79,Arbutus,"7505 Courtney Road",275000,3,2,1400,6 years,"Garden",Townhouse,Sale,640,"https://example.com/listing79"
80,Halethrope,"7506 Woodside Avenue",500000,5,4,2500,12 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing80"
81,Baltimore City,"7507 Oakford Avenue",325000,3,2,1600,9 years,"Garage",Condo,Rent,700,"https://example.com/listing81"
82,Arbutus,"7508 Circle Dr",280000,3,2,1500,8 years,"Garden",Single-family home,Sale,660,"https://example.com/listing82"
83,Halethrope,"7509 Ridge Avenue",380000,4,3,2000,10 years,"Swimming Pool, Garage",Townhouse,Sale,720,"https://example.com/listing83"
84,Baltimore City,"7510 Haddon Avenue",365000,4,2,1800,6 years,"Garden",Condo,Rent,700,"https://example.com/listing84"
85,Arbutus,"7511 Courtney Road",295000,3,2,1600,7 years,"Garage",Single-family home,Sale,680,"https://example.com/listing85"
86,Halethrope,"7512 Woodside Avenue",520000,5,4,2500,11 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing86"
87,Baltimore City,"7513 Oakford Avenue",335000,3,2,1500,9 years,"Garage",Condo,Rent,700,"https://example.com/listing87"
88,Arbutus,"7514 Circle Dr",310000,4,3,2000,6 years,"Garden",Townhouse,Sale,700,"https://example.com/listing88"
89,Halethrope,"7515 Ridge Avenue",420000,4,2,1800,8 years,"Garage",Single-family home,Sale,720,"https://example.com/listing89"
90,Baltimore City,"7516 Haddon Avenue",375000,3,2,1600,7 years,"Swimming Pool, Garden",Single-family home,Rent,680,"https://example.com/listing90"
91,Baltimore City,"9101 Oakford Avenue",250000,3,2,1500,10 years,"Swimming Pool, Garden",Single-family home,Sale,680,"https://example.com/listing91"
92,Arbutus,"9102 Circle Dr",300000,4,3,2000,5 years,"Garage",Townhouse,Rent,700,"https://example.com/listing92"
93,Halethrope,"9103 Ridge Avenue",400000,4,2,1800,8 years,"Garden",Condo,Sale,720,"https://example.com/listing93"
94,Baltimore City,"9104 Haddon Avenue",350000,3,2,1600,7 years,"Garage",Single-family home,Rent,680,"https://example.com/listing94"
95,Arbutus,"9105 Courtney Road",275000,3,2,1400,6 years,"Garden",Townhouse,Sale,640,"https://example.com/listing95"
96,Halethrope,"9106 Woodside Avenue",500000,5,4,2500,12 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing96"
97,Baltimore City,"9107 Oakford Avenue",325000,3,2,1600,9 years,"Garage",Condo,Rent,700,"https://example.com/listing97"
98,Arbutus,"9108 Circle Dr",280000,3,2,1500,8 years,"Garden",Single-family home,Sale,660,"https://example.com/listing98"
99,Halethrope,"9109 Ridge Avenue",380000,4,3,2000,10 years,"Swimming Pool, Garage",Townhouse,Sale,720,"https://example.com/listing99"
100,Baltimore City,"9110 Haddon Avenue",365000,4,2,1800,6 years,"Garden",Condo,Rent,700,"https://example.com/listing100"
101,Arbutus,"9111 Courtney Road",295000,3,2,1600,7 years,"Garage",Single-family home,Sale,680,"https://example.com/listing101"
102,Halethrope,"9112 Woodside Avenue",520000,5,4,2500,11 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing102"
103,Baltimore City,"9113 Oakford Avenue",335000,3,2,1500,9 years,"Garage",Condo,Rent,700,"https://example.com/listing103"
104,Arbutus,"9114 Circle Dr",310000,4,3,2000,6 years,"Garden",Townhouse,Sale,700,"https://example.com/listing104"
105,Halethrope,"9115 Ridge Avenue",420000,4,2,1800,8 years,"Garage",Single-family home,Sale,720,"https://example.com/listing105"
106,Baltimore City,"9116 Haddon Avenue",375000,3,2,1600,7 years,"Swimming Pool, Garden",Single-family home,Rent,680,"https://example.com/listing106"
